epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6941.37,1.25931,0.82318,0.89861,0.53085,0.42138,0.41807,0.24901,1.29017,0.91004,0.9105,0.0005941,0.0005941,0.0005941
43,7097.19,1.25716,0.82188,0.89938,0.55409,0.41469,0.42085,0.2491,1.28665,0.90475,0.91108,0.0005842,0.0005842,0.0005842
44,7251.99,1.25749,0.81628,0.89957,0.54602,0.41924,0.41918,0.24854,1.28803,0.90491,0.91093,0.0005743,0.0005743,0.0005743
45,7405.24,1.25792,0.81555,0.89871,0.55215,0.41748,0.41792,0.2481,1.29062,0.90906,0.91096,0.0005644,0.0005644,0.0005644
46,7558.4,1.25096,0.81063,0.89677,0.53501,0.42783,0.41951,0.24928,1.28316,0.90924,0.90944,0.0005545,0.0005545,0.0005545
47,7711.71,1.24958,0.80806,0.89601,0.54118,0.42362,0.42143,0.24884,1.28958,0.9046,0.91042,0.0005446,0.0005446,0.0005446
48,7864.45,1.24751,0.80618,0.8948,0.56244,0.41631,0.42009,0.24758,1.28917,0.90862,0.90887,0.0005347,0.0005347,0.0005347
49,8016.12,1.24257,0.80082,0.89499,0.5472,0.42103,0.41963,0.24923,1.28557,0.90947,0.91029,0.0005248,0.0005248,0.0005248
50,8167.63,1.23685,0.79241,0.89382,0.55582,0.42219,0.42003,0.25062,1.2832,0.90234,0.90757,0.0005149,0.0005149,0.0005149
51,8319.37,1.24186,0.79323,0.89405,0.54424,0.42842,0.42275,0.25141,1.28171,0.89919,0.90789,0.000505,0.000505,0.000505
52,8473.75,1.23409,0.78773,0.8927,0.54497,0.42389,0.42227,0.25076,1.28573,0.90239,0.90831,0.0004951,0.0004951,0.0004951
53,8626.52,1.23356,0.78539,0.89369,0.5498,0.41899,0.42054,0.25024,1.2846,0.89908,0.90905,0.0004852,0.0004852,0.0004852
54,8779.35,1.23061,0.78354,0.89329,0.5515,0.42678,0.42308,0.25084,1.28075,0.89965,0.90801,0.0004753,0.0004753,0.0004753
55,8932.01,1.22885,0.77682,0.88956,0.54858,0.42271,0.42233,0.25038,1.28535,0.90516,0.90742,0.0004654,0.0004654,0.0004654
56,9085.66,1.22555,0.77463,0.89106,0.53423,0.42936,0.42185,0.25045,1.28631,0.9033,0.91002,0.0004555,0.0004555,0.0004555
57,9238.48,1.22506,0.77337,0.89005,0.5546,0.42432,0.42514,0.25413,1.27837,0.89459,0.90809,0.0004456,0.0004456,0.0004456
58,9391.01,1.2208,0.76631,0.88903,0.54867,0.4279,0.42211,0.25116,1.28386,0.90156,0.90955,0.0004357,0.0004357,0.0004357
59,9543.46,1.21771,0.76676,0.88765,0.54508,0.43359,0.43007,0.25533,1.28148,0.8945,0.90791,0.0004258,0.0004258,0.0004258
60,9695.31,1.2135,0.75975,0.88763,0.55909,0.42428,0.42707,0.25393,1.28387,0.89729,0.90802,0.0004159,0.0004159,0.0004159
61,9846.72,1.21482,0.75441,0.88764,0.5512,0.42747,0.42801,0.25519,1.27377,0.89122,0.90666,0.000406,0.000406,0.000406
62,9998.37,1.20902,0.75338,0.88634,0.55601,0.4272,0.4283,0.25424,1.27608,0.893,0.90759,0.0003961,0.0003961,0.0003961
63,10152.6,1.21175,0.75291,0.88569,0.56243,0.42446,0.42874,0.25448,1.27954,0.89566,0.90769,0.0003862,0.0003862,0.0003862
64,10305,1.20964,0.7501,0.88609,0.55429,0.42866,0.42916,0.25487,1.28114,0.89504,0.90759,0.0003763,0.0003763,0.0003763
65,10457.9,1.2079,0.75022,0.88433,0.56159,0.43121,0.42952,0.25468,1.27843,0.89553,0.90786,0.0003664,0.0003664,0.0003664
66,10610.1,1.20122,0.74085,0.88393,0.56325,0.4277,0.42951,0.2554,1.27676,0.89313,0.90787,0.0003565,0.0003565,0.0003565
67,10763.6,1.19842,0.73676,0.88344,0.54492,0.43281,0.4289,0.25397,1.27719,0.89193,0.90725,0.0003466,0.0003466,0.0003466
68,10917.3,1.19611,0.73478,0.88462,0.55884,0.43288,0.43136,0.25511,1.2795,0.8927,0.90734,0.0003367,0.0003367,0.0003367
69,11071.2,1.19657,0.73207,0.8832,0.54411,0.43137,0.42619,0.25325,1.27846,0.89621,0.90723,0.0003268,0.0003268,0.0003268
70,11225.5,1.19299,0.72834,0.8828,0.56325,0.4197,0.42669,0.25315,1.2788,0.89459,0.90778,0.0003169,0.0003169,0.0003169
71,11380.3,1.19479,0.72883,0.8822,0.54644,0.43043,0.42619,0.25344,1.27608,0.893,0.90618,0.000307,0.000307,0.000307
72,11534.1,1.18688,0.72265,0.88086,0.5533,0.4287,0.42779,0.25534,1.27404,0.89055,0.90616,0.0002971,0.0002971,0.0002971
73,11687.9,1.19087,0.72193,0.87968,0.56485,0.42594,0.42713,0.25507,1.27569,0.8908,0.90653,0.0002872,0.0002872,0.0002872
74,11842.3,1.18863,0.72026,0.88096,0.56561,0.42305,0.4273,0.25444,1.27834,0.89406,0.90765,0.0002773,0.0002773,0.0002773
75,11996.4,1.18477,0.71587,0.87971,0.55765,0.42808,0.42753,0.25371,1.27948,0.89698,0.90808,0.0002674,0.0002674,0.0002674
76,12150.3,1.18286,0.71281,0.87927,0.55748,0.42918,0.42739,0.25355,1.27687,0.89457,0.90714,0.0002575,0.0002575,0.0002575
77,12305.2,1.1781,0.70862,0.8774,0.54883,0.43529,0.42816,0.25493,1.27819,0.89451,0.90737,0.0002476,0.0002476,0.0002476
78,12458.4,1.17611,0.70658,0.87832,0.56936,0.42328,0.42721,0.25394,1.28219,0.89636,0.90786,0.0002377,0.0002377,0.0002377
